,Entry,PLOT,Check,Full_sample,Sample_ID,replication,Day1Germ,Day2Germ,Day3Germ,Day4Germ,Day5Germ,kernels_remaining,Mold_kern,Cooler,note,Year,Location,Timepoint,PM_at_plating,Experiment
176,BS710-44,11135,B,Half,88,2,2,13,8,4,1,2,,,,2020,Snyder,2,19,Winter DH Germination
177,BS710-45,11136,B,Half,89,1,0,15,5,5,1,4,,,,2020,Snyder,2,19,Winter DH Germination
178,BS710-45,11136,B,Half,89,2,2,12,5,8,2,1,,,,2020,Snyder,2,19,Winter DH Germination
179,BS710-46,11137,B,Full,90,1,1,13,10,2,3,1,,,,2020,Snyder,2,19,Winter DH Germination
180,BS710-46,11137,B,Full,90,2,0,10,15,4,3,0,,,,2020,Snyder,2,19,Winter DH Germination
181,BS710-47,11138,B,Half,91,1,0,3,13,9,2,3,,,,2020,Snyder,2,19,Winter DH Germination
182,BS710-47,11138,B,Half,91,2,0,9,12,6,1,2,,,,2020,Snyder,2,19,Winter DH Germination
183,BS710-48,11139,B,Full,92,1,0,1,4,8,8,9,,,,2020,Snyder,2,19,Winter DH Germination
184,BS710-48,11139,B,Full,92,2,0,2,6,7,3,12,,,,2020,Snyder,2,19,Winter DH Germination
185,BS710-49,11140,B,Half,93,1,2,22,3,0,1,2,,,,2020,Snyder,2,19,Winter DH Germination
186,BS710-49,11140,B,Half,93,2,6,18,3,0,0,3,,,,2020,Snyder,2,19,Winter DH Germination
187,BS710-50,11141,B,Full,94,1,13,13,1,1,1,1,,,,2020,Snyder,2,19,Winter DH Germination
188,BS710-50,11141,B,Full,94,2,9,16,0,0,1,4,,,,2020,Snyder,2,19,Winter DH Germination
189,BS710-51,11142,B,Half,95,1,0,0,2,8,6,13,,,,2020,Snyder,2,19,Winter DH Germination
190,BS710-51,11142,B,Half,95,2,0,2,2,8,5,13,,,,2020,Snyder,2,19,Winter DH Germination
191,BS710-53,11144,B,Half,96,1,7,23,0,0,0,0,,,,2020,Snyder,2,19,Winter DH Germination
192,BS710-53,11144,B,Half,96,2,4,23,0,0,2,1,,,,2020,Snyder,2,19,Winter DH Germination
193,BS710-55,11146,B,Half,97,1,0,0,6,9,7,8,,,,2020,Snyder,2,19,Winter DH Germination
194,BS710-55,11146,B,Half,97,2,0,0,5,8,6,11,,,,2020,Snyder,2,19,Winter DH Germination
195,BS710-56,11147,B,Half,98,1,3,21,5,0,0,1,,,,2020,Snyder,2,19,Winter DH Germination
196,BS710-56,11147,B,Half,98,2,3,15,11,0,1,0,,,,2020,Snyder,2,19,Winter DH Germination
197,BS710-57,11148,B,Full,99,1,6,22,1,1,0,0,,,,2020,Snyder,2,19,Winter DH Germination
198,BS710-57,11148,B,Full,99,2,8,19,0,0,0,3,,,,2020,Snyder,2,19,Winter DH Germination
