Entry,PLOT,Full_sample,Sample_ID,replication,Day1Germ,Day2Germ,Day3Germ,Day4Germ,Day5Germ,kernels_remaining,Mold_kern,Cooler,note,UserDay1,UserDay2,UserDay3,UserDay4,UserDay5,Year,Timepoint,PM_at_plating,Experiment
BS710-23,11114,Full,76,1,2,21,7,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-23,11114,Full,76,2,2,24,5,0,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-27,11118,Full,77,1,0,10,11,9,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-27,11118,Full,77,2,0,6,19,5,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-29,11120,Half,78,1,1,20,9,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-29,11120,Half,78,2,6,17,7,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-30,11121,Full,79,1,12,18,0,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-30,11121,Full,79,2,12,18,0,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-31,11122,Half,80,2,9,18,1,0,0,2,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-31,11122,Half,80,1,13,15,2,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-32,11123,Half,81,1,4,19,4,3,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-32,11123,Half,81,2,5,13,4,0,0,3,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-33,11124,Full,82,2,9,21,0,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-33,11124,Full,82,1,10,20,0,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-35,11126,Half,83,1,14,16,0,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-35,11126,Half,83,2,15,15,0,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-36,11127,Half,84,1,17,13,0,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-36,11127,Half,84,2,19,11,0,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-39,11130,Half,85,2,11,19,0,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-39,11130,Half,85,1,13,16,1,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-41,11132,Full,86,2,1,16,11,2,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-41,11132,Full,86,1,2,12,10,7,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-42,11133,Half,87,1,19,11,0,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-42,11133,Half,87,2,20,10,0,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-44,11135,Half,88,2,4,22,4,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-44,11135,Half,88,1,5,16,5,2,0,2,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-45,11136,Half,89,1,4,18,7,1,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-45,11136,Half,89,2,5,15,10,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-46,11137,Full,90,2,0,6,21,3,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-46,11137,Full,90,1,3,18,9,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-47,11138,Half,91,1,0,1,22,5,1,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-47,11138,Half,91,2,0,16,13,0,1,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-48,11139,Full,92,1,0,9,17,1,1,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-48,11139,Full,92,2,0,9,19,1,1,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-49,11140,Half,93,2,11,18,0,0,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-49,11140,Half,93,1,12,17,0,0,0,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-50,11141,Full,94,1,13,15,1,0,0,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-50,11141,Full,94,2,16,11,1,0,0,2,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-51,11142,Half,95,1,1,11,17,0,1,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-51,11142,Half,95,2,1,15,13,1,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-53,11144,Half,96,1,18,11,1,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-53,11144,Half,96,2,18,11,1,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-55,11146,Half,97,1,0,9,16,3,0,2,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-55,11146,Half,97,2,0,21,9,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-56,11147,Half,98,2,9,19,2,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-56,11147,Half,98,1,14,15,1,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-57,11148,Full,99,1,7,15,8,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-57,11148,Full,99,2,16,14,0,0,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-58,11149,Full,100,2,0,21,7,1,0,1,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-58,11149,Full,100,1,1,20,8,0,0,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
Check 6-Charles,11150,Full,101,2,15,15,0,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
Check 6-Charles,11150,Full,101,1,20,10,0,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-60,11153,Half,102,1,14,15,1,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-60,11153,Half,102,2,15,11,1,1,0,2,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-61,11154,Half,103,2,7,22,1,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-61,11154,Half,103,1,11,19,0,0,0,0,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-62,11155,Half,104,1,1,23,5,0,1,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-62,11155,Half,104,2,2,23,5,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-63,11156,Half,105,2,7,21,2,0,0,0,,B,,DS,DS,DS,DS,DS,2020,3,47,Winter DH Germination
BS710-63,11156,Half,105,1,9,20,0,0,0,1,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
BS710-64,11157,Full,106,1,0,15,5,3,3,4,,A,,KK,KK,KK,KK,KK,2020,3,47,Winter DH Germination
