"","Order","Entry","PLOT","Full_sample","Check","Sample_ID","replication","Day1Germ","Day2Germ","Day3Germ","Day4Germ","Day5Germ","kernels_remaining","Mold_kern","Check","Cooler","UserDay1","UserDay2","UserDay3","UserDay4","UserDay5","note","Location","Year","Timepoint","PM_at_plating","Experiment"
"109",109,"BS616-60","11067","Half","B",52,2,5,21,4,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"110",110,"BS616-60","11067","Half","B",52,1,2,28,0,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"111",111,"BS616-61","11068","Half","B",53,2,3,23,4,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"112",112,"BS616-61","11068","Half","B",53,1,1,27,2,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"113",113,"BS616-62","11069","Full","B",54,2,4,25,1,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"114",114,"BS616-62","11069","Full","B",54,1,4,25,0,0,0,1,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"115",115,"BS616-63","11070","Half","B",55,2,15,14,2,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"116",116,"BS616-63","11070","Half","B",55,1,12,16,2,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"117",117,"BS616-64","11071","Full","B",56,2,12,17,1,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"118",118,"BS616-64","11071","Full","B",56,1,12,14,4,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"119",119,"BS616-66","11073","Full","B",57,2,2,27,1,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"120",120,"BS616-66","11073","Full","B",57,1,1,29,0,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"121",121,"BS616-67","11074","Half","B",58,2,7,23,0,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"122",122,"BS616-67","11074","Half","B",58,1,4,26,0,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"123",123,"BS616-68","11075","Full","B",59,2,5,23,1,1,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"124",124,"BS616-68","11075","Full","B",59,1,3,24,4,1,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"125",125,"BS616-69","11076","Full","B",60,2,8,21,1,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"126",126,"BS616-69","11076","Full","B",60,1,9,21,0,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"127",127,"BS616-70","11077","Half","B",61,2,2,27,1,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"128",128,"BS616-70","11077","Half","B",61,1,1,27,1,1,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"129",129,"BS616-71","11078","Full","B",62,2,8,19,2,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"130",130,"BS616-71","11078","Full","B",62,1,2,25,3,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"131",131,"BS616-72","11079","Half","B",63,2,5,22,3,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"132",132,"BS616-72","11079","Half","B",63,1,7,21,1,1,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"133",133,"BS616-73","11080","Half","B",64,2,7,19,4,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"134",134,"BS616-73","11080","Half","B",64,1,3,25,2,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"135",135,"BS616-74","11081","Full","B",65,2,4,25,1,0,0,1,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"136",136,"BS616-74","11081","Full","B",65,1,4,26,0,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"137",137,"BS616-75","11082","Full","B",66,2,3,23,4,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"138",138,"BS616-75","11082","Full","B",66,1,4,21,5,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"139",139,"BS616-78","11085","Half","B",67,2,6,23,1,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"140",140,"BS616-78","11085","Half","B",67,1,9,21,0,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"141",141,"BS616-79","11086","Full","B",68,2,12,15,3,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"142",142,"BS616-79","11086","Full","B",68,1,10,17,2,0,0,1,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"143",143,"BS710-2","11088","Full","B",69,2,14,14,2,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"144",144,"BS710-2","11088","Full","B",69,1,11,19,0,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"145",145,"BS710-7","11093","Full","B",70,2,17,13,0,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"146",146,"BS710-7","11093","Full","B",70,1,13,17,0,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"147",147,"BS710-8","11094","Full","B",71,2,10,18,2,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"148",148,"BS710-8","11094","Full","B",71,1,13,16,0,0,0,1,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"149",149,"BS710-9","11095","Full","B",72,2,7,23,0,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"150",150,"BS710-9","11095","Full","B",72,1,9,20,1,0,0,0,NA,"B",NA,"TR","TR","TR","TR","TR",NA,"Snyder","2020","5","152","Winter DH Germination"
"151",151,"BS710-11","11097","Half","B",NA,2,5,21,4,0,0,0,NA,"B",NA,"KK","KK","KK","KK","KK",NA,"Snyder","2020","5","152","Winter DH Germination"
"152",152,"BS710-11","11097","Half","B",NA,1,11,18,1,0,0,0,NA,"B",NA,NA,NA,NA,NA,NA,NA,"Snyder","2020","5","152","Winter DH Germination"
