,Entry,PLOT,Full_sample,Check,Sample_ID,replication,Day1Germ,Day2Germ,Day3Germ,Day4Germ,Day5Germ,kernels_remaining,Mold_kern,Cooler,note,Year,Location,Timepoint,PM_at_plating,Experiment
164,BS713-108,11206,Full,B,140,2,0,5,7,8,4,6,NA,,,2020,Snyder,1,5,Winter DH Germination
165,BS713-109,11207,Full,B,141,1,0,0,0,3,10,17,NA,,,2020,Snyder,1,5,Winter DH Germination
166,BS713-109,11207,Full,B,141,2,0,0,1,4,14,12,NA,,,2020,Snyder,1,5,Winter DH Germination
167,BS713-110,11208,Full,B,142,1,0,2,5,6,8,9,NA,,,2020,Snyder,1,5,Winter DH Germination
168,BS713-110,11208,Full,B,142,2,0,3,2,7,10,8,NA,,,2020,Snyder,1,5,Winter DH Germination
170,BS713-112,11210,Full,B,143,2,0,0,2,2,12,14,NA,,,2020,Snyder,1,5,Winter DH Germination
169,BS713-112,11210,Full,B,143,1,0,0,5,3,5,16,NA,,,2020,Snyder,1,5,Winter DH Germination
171,BS713-113,11211,Full,B,144,1,0,0,3,1,9,17,NA,,,2020,Snyder,1,5,Winter DH Germination
172,BS713-113,11211,Full,B,144,2,0,0,5,4,8,13,NA,,,2020,Snyder,1,5,Winter DH Germination
174,BS714-123,11221,Full,B,146,2,0,0,0,0,0,30,NA,,,2020,Snyder,1,5,Winter DH Germination
173,BS714-123,11221,Full,B,146,1,0,0,0,1,4,25,NA,,,2020,Snyder,1,5,Winter DH Germination
176,BS714-124,11222,Full,B,147,2,0,1,6,3,5,15,NA,,,2020,Snyder,1,5,Winter DH Germination
175,BS714-124,11222,Full,B,147,1,0,1,2,5,5,16,NA,,,2020,Snyder,1,5,Winter DH Germination
178,BS714-125,11223,Full,B,148,2,0,0,3,1,5,21,NA,,,2020,Snyder,1,5,Winter DH Germination
177,BS714-125,11223,Full,B,148,1,0,0,2,2,7,19,NA,,,2020,Snyder,1,5,Winter DH Germination
179,BS714-128,11226,Full,B,150,1,0,3,2,5,4,21,NA,,,2020,Snyder,1,5,Winter DH Germination
180,BS714-128,11226,Full,B,150,2,0,0,3,7,4,21,NA,,,2020,Snyder,1,5,Winter DH Germination
181,BS715-136,11234,Full,B,153,1,0,0,1,6,6,17,NA,,,2020,Snyder,1,5,Winter DH Germination
182,BS715-136,11234,Full,B,153,2,0,0,1,6,7,16,NA,,,2020,Snyder,1,5,Winter DH Germination
183,BS715-139,11237,Full,B,156,1,0,2,5,8,4,11,NA,,,2020,Snyder,1,5,Winter DH Germination
184,BS715-139,11237,Full,B,156,2,0,2,6,9,6,7,NA,,,2020,Snyder,1,5,Winter DH Germination
185,BS715-140,11238,Full,B,157,1,0,4,16,5,2,3,NA,,,2020,Snyder,1,5,Winter DH Germination
186,BS715-140,11238,Full,B,157,2,0,7,12,11,0,0,NA,,,2020,Snyder,1,5,Winter DH Germination
187,BS715-142,11240,Full,B,158,1,0,0,0,8,5,17,NA,,,2020,Snyder,1,5,Winter DH Germination
188,BS715-142,11240,Full,B,158,2,0,0,2,9,2,17,NA,,,2020,Snyder,1,5,Winter DH Germination
190,BS715-144,11242,Full,B,160,2,13,6,4,2,0,5,NA,,,2020,Snyder,1,5,Winter DH Germination
189,BS715-144,11242,Full,B,160,1,3,12,4,4,1,6,NA,,,2020,Snyder,1,5,Winter DH Germination
192,BS807-1,11244,Full,B,162,2,0,0,1,1,5,23,NA,,,2020,Snyder,1,5,Winter DH Germination
191,BS807-1,11244,Full,B,162,1,0,0,0,2,6,22,NA,,,2020,Snyder,1,5,Winter DH Germination
194,BS807-3,11246,Full,B,164,2,0,0,2,4,6,20,NA,,,2020,Snyder,1,5,Winter DH Germination
193,BS807-3,11246,Full,B,164,1,0,0,2,6,9,13,NA,,,2020,Snyder,1,5,Winter DH Germination
195,Check 6-Charles,11250,Full,C,167,1,14,16,0,0,0,0,NA,,,2020,Snyder,1,5,Winter DH Germination
196,Check 6-Charles,11250,Full,C,167,2,14,16,0,0,0,0,NA,,,2020,Snyder,1,5,Winter DH Germination
198,BS810-7,11252,Full,B,168,2,0,0,3,9,8,10,NA,,,2020,Snyder,1,5,Winter DH Germination
197,BS810-7,11252,Full,B,168,1,0,0,5,14,3,8,NA,,,2020,Snyder,1,5,Winter DH Germination
199,BS810-16,11261,Full,B,173,1,0,0,1,7,11,11,NA,,,2020,Snyder,1,5,Winter DH Germination
200,BS810-16,11261,Full,B,173,2,0,0,2,15,6,7,NA,,,2020,Snyder,1,5,Winter DH Germination
201,BS811-19,11264,Full,B,176,1,0,0,1,3,9,17,NA,,,2020,Snyder,1,5,Winter DH Germination
202,BS811-19,11264,Full,B,176,2,0,0,0,8,9,13,NA,,,2020,Snyder,1,5,Winter DH Germination
204,BS811-24,11269,Full,B,181,2,0,0,6,16,4,4,NA,,,2020,Snyder,1,5,Winter DH Germination
203,BS811-24,11269,Full,B,181,1,0,0,4,18,6,2,NA,,,2020,Snyder,1,5,Winter DH Germination
206,BS811-25,11270,Full,B,182,2,0,0,0,4,11,15,NA,,,2020,Snyder,1,5,Winter DH Germination
205,BS811-25,11270,Full,B,182,1,0,0,0,5,6,14,NA,,,2020,Snyder,1,5,Winter DH Germination
208,BS811-26,11271,Full,B,183,2,1,7,7,4,4,7,NA,,,2020,Snyder,1,5,Winter DH Germination
207,BS811-26,11271,Full,B,183,1,0,8,5,8,4,5,NA,,,2020,Snyder,1,5,Winter DH Germination
209,BS811-32,11277,Full,B,189,1,0,1,0,2,9,18,NA,,,2020,Snyder,1,5,Winter DH Germination
210,BS811-32,11277,Full,B,189,2,0,0,1,2,1,26,NA,,,2020,Snyder,1,5,Winter DH Germination
211,BS811-36,11281,Full,B,192,1,0,0,2,5,7,16,NA,,,2020,Snyder,1,5,Winter DH Germination
212,BS811-36,11281,Full,B,192,2,0,0,2,8,10,10,NA,,,2020,Snyder,1,5,Winter DH Germination
213,BS811-39,11284,Full,B,195,1,0,0,7,11,9,3,NA,,,2020,Snyder,1,5,Winter DH Germination
214,BS811-39,11284,Full,B,195,2,0,3,4,12,8,3,NA,,,2020,Snyder,1,5,Winter DH Germination
215,BS811-40,11285,Full,B,196,1,0,2,6,7,7,8,NA,,,2020,Snyder,1,5,Winter DH Germination
216,BS811-40,11285,Full,B,196,2,0,0,9,9,7,5,NA,,,2020,Snyder,1,5,Winter DH Germination
217,BS811-42,11287,Full,B,198,1,0,0,2,2,8,18,NA,,,2020,Snyder,1,5,Winter DH Germination
218,BS811-42,11287,Full,B,198,2,0,0,0,2,5,23,NA,,,2020,Snyder,1,5,Winter DH Germination
219,BS811-43,11288,Full,B,199,1,0,0,1,1,5,23,NA,,,2020,Snyder,1,5,Winter DH Germination
220,BS811-43,11288,Full,B,199,2,0,0,1,3,3,23,NA,,,2020,Snyder,1,5,Winter DH Germination
221,BS812-45,11290,Full,B,201,1,0,14,8,3,4,1,NA,,,2020,Snyder,1,5,Winter DH Germination
222,BS812-45,11290,Full,B,201,2,0,7,13,7,2,0,NA,,,2020,Snyder,1,5,Winter DH Germination
223,BS812-46,11291,Full,B,202,1,0,1,3,12,10,4,NA,,,2020,Snyder,1,5,Winter DH Germination
224,BS812-46,11291,Full,B,202,2,0,2,3,12,10,3,NA,,,2020,Snyder,1,5,Winter DH Germination
225,BS812-47,11292,Full,B,203,1,0,0,0,1,16,13,NA,,,2020,Snyder,1,5,Winter DH Germination
226,BS812-47,11292,Full,B,203,2,0,0,1,4,8,17,NA,,,2020,Snyder,1,5,Winter DH Germination
228,BS812-48,11293,Full,B,204,2,0,0,0,3,3,24,NA,,,2020,Snyder,1,5,Winter DH Germination
227,BS812-48,11293,Full,B,204,1,0,0,2,6,6,16,NA,,,2020,Snyder,1,5,Winter DH Germination
229,BS812-49,11294,Full,B,205,1,4,16,7,1,1,1,NA,,,2020,Snyder,1,5,Winter DH Germination
230,BS812-49,11294,Full,B,205,2,11,10,5,3,0,1,NA,,,2020,Snyder,1,5,Winter DH Germination
231,BS812-52,11297,Full,B,207,1,0,0,1,7,9,13,NA,,,2020,Snyder,1,5,Winter DH Germination
